genre,label,loudness,energy,tempo,danceability,release_date
Pop,Universal Music,-32.22,0.74,73.12,0.15,2016-04-01
Pop,Warner Music,-34.47,0.98,149,0.78,2015-10-12
Pop,Sony Music,-18.52,0.66,171.12,0.6,2021-02-22
Pop,EMI,-25.92,0.66,106.54,0.6,2024-03-14
Pop,Warner Music,-50.13,0.05,105.74,0.79,2022-04-01
Pop,Warner Music,-54.72,0.76,62.66,0.83,2016-07-17
Pop,XL Recordings,-17.95,0.13,156.64,0.11,2021-06-04
Pop,Warner Music,-11.47,0.51,74.98,0.32,2015-02-18
Pop,Universal Music,-36.6,0.34,188.63,0.5,2016-01-05
Pop,Sony Music,-38.35,0.3,125.93,0.21,2016-02-02
Pop,Sony Music,-6.79,0.21,80.05,0.18,2019-08-20
Pop,Sony Music,-29.45,0.34,160.23,0.84,2024-04-03
Pop,XL Recordings,-28.71,0.38,185.76,0.82,2018-03-04
Pop,Sony Music,-52.54,0.62,110.08,0.65,2018-07-19
Pop,Columbia,-43.51,0.81,137.22,0.64,2015-11-05
Pop,Sony Music,-29.3,0.82,182.89,0.69,2016-03-20
Pop,Island Records,-49.24,0.69,151.22,0.67,2020-10-29
Pop,Island Records,-29.27,0.82,90.6,0.68,2021-01-03
Pop,Columbia,-36.25,0.48,124.01,0.8,2016-06-09
Pop,Island Records,-9.84,0.21,133.61,0.15,2024-10-17
Pop,EMI,-4.02,0.4,91.58,0.29,2018-02-03
Pop,Warner Music,-42.46,0.61,110.3,0.63,2017-01-26
Pop,Warner Music,-49.12,0.31,82.59,0.84,2024-07-29
Pop,XL Recordings,-51.49,0.82,78.84,0.89,2025-06-12
Pop,Universal Music,-6.62,0.63,169.76,0.5,2023-12-10
Pop,Island Records,-39.38,0.34,157.31,0.59,2023-09-24
Pop,Columbia,-9.77,0.96,167.85,0.98,2024-08-31
Pop,EMI,-33.8,0.5,75.18,0.46,2018-09-24
Pop,Columbia,-26.32,0.73,173.36,0.98,2025-12-28
Pop,Universal Music,-18.87,0.65,158.46,0.33,2021-04-06
Pop,Columbia,-36.49,0.52,128.06,0.83,2015-09-15
Pop,XL Recordings,-33.13,0.19,102.39,0.16,2015-03-15
Pop,EMI,-54.89,0.23,69.46,0.89,2019-09-24
Pop,Island Records,-33.94,0.2,79.94,0.95,2016-11-24
Pop,EMI,-18.67,0.02,137.81,0.66,2018-09-07
Pop,Universal Music,-54.72,0.91,106.86,0.09,2023-07-06
Pop,Sony Music,-21.54,0.25,147.55,0.54,2024-05-02
Pop,EMI,-24.01,0.63,197.22,0.36,2021-05-13
Pop,Columbia,-51.36,0.29,117.55,0.67,2018-07-19
Pop,Sony Music,-4.22,0.38,113.77,0.74,2015-01-18
Pop,EMI,-35.89,0.03,108.96,0.1,2020-10-12
Pop,Sony Music,-19.02,0.74,194.36,0.42,2018-03-12
Pop,Columbia,-5.94,0.33,120.33,0.67,2015-06-17
Pop,Universal Music,-47.86,0.76,97.47,0.83,2019-04-22
Pop,EMI,-10.77,0.04,157.9,0.81,2021-06-20
Pop,EMI,-3.67,0.56,195.47,0.78,2024-01-14
Pop,EMI,-35.98,0.87,76.05,0.62,2016-11-16
Pop,Universal Music,-15.9,0.44,174.26,0.7,2015-07-15
Pop,Columbia,-40.42,0.34,189.48,0.12,2016-03-29
Pop,Universal Music,-45.78,0.04,143.16,0.45,2025-10-16
Pop,Columbia,-13.14,0.53,102.64,0.84,2016-03-24
Pop,EMI,-28.26,0.86,79.58,0.24,2016-06-05
Pop,Warner Music,-34.11,0.19,64.88,0.41,2017-02-08
Pop,Warner Music,-41.57,0.73,134.9,0.15,2022-02-17
